code,target,sigprice,gentime,usertag
DCE.cs.HOT,-5,2837,20210909141500000,
DCE.c.HOT,4,2460,20210909142000000,
DCE.c.HOT,5,2464,20210909142500000,
DCE.y.HOT,4,9148,20210909142500000,
DCE.y.HOT,5,9124,20210909143000000,
DCE.cs.HOT,-4,2830,20210909210500000,
DCE.cs.HOT,-5,2832,20210909211000000,
DCE.cs.HOT,-4,2832,20210909211500000,
DCE.m.HOT,4,3477,20210909211500000,
DCE.y.HOT,4,9134,20210909211500000,
DCE.y.HOT,5,9122,20210909212000000,
DCE.cs.HOT,-5,2831,20210909212500000,
DCE.m.HOT,5,3472,20210909212500000,
DCE.c.HOT,4,2465,20210909213000000,
DCE.cs.HOT,-4,2833,20210909213000000,
DCE.y.HOT,4,9116,20210909213000000,
DCE.c.HOT,5,2463,20210909213500000,
DCE.y.HOT,5,9118,20210909213500000,
DCE.cs.HOT,-5,2830,20210909214000000,
DCE.cs.HOT,-4,2830,20210909215000000,
DCE.cs.HOT,-5,2831,20210909215500000,
DCE.c.HOT,4,2460,20210909223000000,
DCE.c.HOT,5,2459,20210909223500000,
DCE.y.HOT,4,9134,20210909223500000,
DCE.y.HOT,5,9140,20210909224000000,
DCE.c.HOT,4,2459,20210909225500000,
DCE.cs.HOT,-4,2829,20210909225500000,
DCE.y.HOT,4,9146,20210909225500000,
DCE.c.HOT,5,2459,20210909230000000,
DCE.cs.HOT,-5,2826,20210909230000000,
DCE.m.HOT,4,3468,20210909230000000,
DCE.y.HOT,5,9146,20210909230000000,
DCE.y.HOT,4,9076,20210910090500000,
DCE.cs.HOT,-4,2833,20210910091000000,
DCE.y.HOT,5,9066,20210910091000000,
DCE.cs.HOT,-5,2831,20210910091500000,
DCE.m.HOT,5,3464,20210910091500000,
DCE.c.HOT,4,2461,20210910092000000,
DCE.y.HOT,4,9064,20210910092500000,
DCE.c.HOT,5,2463,20210910093000000,
DCE.cs.HOT,-4,2834,20210910093000000,
DCE.y.HOT,5,9064,20210910093000000,
DCE.cs.HOT,-5,2837,20210910094000000,
DCE.m.HOT,4,3471,20210910095000000,
DCE.m.HOT,5,3469,20210910095500000,
DCE.cs.HOT,-4,2828,20210910100000000,
DCE.c.HOT,4,2458,20210910100500000,
DCE.cs.HOT,-5,2829,20210910100500000,
DCE.m.HOT,3,3469,20210910100500000,
DCE.m.HOT,5,3471,20210910101000000,
DCE.y.HOT,4,9160,20210910101000000,
DCE.c.HOT,5,2459,20210910101500000,
DCE.y.HOT,5,9188,20210910103500000,
DCE.cs.HOT,-4,2829,20210910104500000,
DCE.cs.HOT,-5,2828,20210910105000000,
DCE.y.HOT,4,9142,20210910105500000,
DCE.cs.HOT,-4,2825,20210910110000000,
DCE.y.HOT,5,9144,20210910110000000,
DCE.cs.HOT,-5,2827,20210910110500000,
DCE.m.HOT,4,3467,20210910110500000,
DCE.cs.HOT,-4,2828,20210910111000000,
DCE.m.HOT,5,3469,20210910111000000,
DCE.cs.HOT,-5,2826,20210910111500000,
DCE.y.HOT,4,9082,20210910111500000,
DCE.c.HOT,4,2453,20210910112000000,
DCE.m.HOT,4,3465,20210910112000000,
