code,target,sigprice,gentime,usertag
DCE.y.HOT,3,9060,20210916223500000,
DCE.y.HOT,4,9058,20210916224000000,
DCE.cs.HOT,5,2825,20210916224500000,
DCE.y.HOT,5,9030,20210916224500000,
DCE.cs.HOT,-4,2819,20210917093000000,
DCE.m.HOT,5,3567,20210917093000000,
DCE.cs.HOT,-5,2821,20210917093500000,
DCE.y.HOT,-5,9036,20210917101000000,
DCE.y.HOT,5,9046,20210917101500000,
DCE.cs.HOT,4,2833,20210917103500000,
DCE.m.HOT,-5,3559,20210917103500000,
DCE.cs.HOT,-5,2831,20210917104000000,
DCE.cs.HOT,5,2836,20210917104500000,
DCE.c.HOT,4,2440,20210917105500000,
DCE.c.HOT,-5,2441,20210917110000000,
DCE.c.HOT,2,2441,20210917110500000,
DCE.c.HOT,-3,2442,20210917111000000,
DCE.c.HOT,-5,2442,20210917111500000,
DCE.m.HOT,-4,3560,20210917111500000,
DCE.m.HOT,-5,3561,20210917112000000,
DCE.m.HOT,-4,3567,20210917133500000,
DCE.m.HOT,-5,3565,20210917134000000,
DCE.c.HOT,-2,2441,20210917135000000,
DCE.c.HOT,-5,2442,20210917135500000,
DCE.m.HOT,5,3567,20210917135500000,
DCE.c.HOT,5,2442,20210917140000000,
DCE.m.HOT,2,3565,20210917140000000,
DCE.m.HOT,4,3565,20210917140500000,
DCE.m.HOT,5,3566,20210917141000000,
DCE.cs.HOT,3,2851,20210917143500000,
DCE.cs.HOT,2,2858,20210917144000000,
DCE.cs.HOT,-5,2867,20210917144500000,
DCE.m.HOT,4,3567,20210917144500000,
DCE.y.HOT,4,8856,20210917144500000,
DCE.m.HOT,-5,3573,20210917145000000,
DCE.y.HOT,5,8850,20210917145000000,
DCE.c.HOT,4,2438,20210922090500000,
DCE.cs.HOT,5,2854,20210922090500000,
DCE.m.HOT,-1,3558,20210922090500000,
DCE.y.HOT,-5,8870,20210922090500000,
DCE.c.HOT,5,2438,20210922091000000,
DCE.m.HOT,-5,3549,20210922091000000,
DCE.y.HOT,5,8878,20210922091000000,
DCE.cs.HOT,1,2874,20210922092000000,
DCE.cs.HOT,5,2874,20210922092500000,
DCE.c.HOT,-4,2445,20210922094000000,
DCE.m.HOT,1,3542,20210922094000000,
DCE.c.HOT,5,2447,20210922094500000,
DCE.cs.HOT,-5,2877,20210922094500000,
DCE.m.HOT,-1,3540,20210922094500000,
DCE.m.HOT,5,3537,20210922095000000,
DCE.cs.HOT,5,2894,20210922103500000,
DCE.cs.HOT,-5,2895,20210922104500000,
DCE.m.HOT,4,3549,20210922110000000,
DCE.m.HOT,-0,3546,20210922110500000,
DCE.m.HOT,-4,3546,20210922111000000,
DCE.c.HOT,0,2464,20210922111500000,
DCE.m.HOT,-5,3542,20210922111500000,
DCE.c.HOT,4,2464,20210922112000000,
DCE.c.HOT,1,2465,20210922112500000,
DCE.c.HOT,-5,2465,20210922113000000,
DCE.c.HOT,4,2462,20210922133500000,
DCE.c.HOT,-5,2459,20210922134000000,
DCE.c.HOT,4,2459,20210922134500000,
DCE.c.HOT,5,2460,20210922135000000,
DCE.cs.HOT,-4,2892,20210922135500000,
DCE.cs.HOT,5,2891,20210922140500000,
DCE.cs.HOT,2,2899,20210922143500000,
DCE.cs.HOT,-5,2899,20210922144000000,
DCE.cs.HOT,5,2896,20210922144500000,
DCE.cs.HOT,-1,2898,20210922145500000,
DCE.m.HOT,-0,3536,20210922145500000,
DCE.cs.HOT,5,2898,20210922150000000,
DCE.m.HOT,5,3536,20210922150000000,
DCE.cs.HOT,-4,2877,20210922212000000,
DCE.cs.HOT,-5,2878,20210922212500000,
DCE.cs.HOT,-4,2882,20210922213500000,
DCE.c.HOT,1,2460,20210922214000000,
DCE.cs.HOT,4,2881,20210922214000000,
DCE.c.HOT,-5,2460,20210922214500000,
DCE.cs.HOT,5,2878,20210922214500000,
DCE.c.HOT,1,2460,20210922220000000,
DCE.cs.HOT,-5,2878,20210922220000000,
DCE.c.HOT,-2,2460,20210922220500000,
DCE.c.HOT,-5,2460,20210922221000000,
DCE.cs.HOT,-4,2884,20210923091000000,
DCE.cs.HOT,-5,2888,20210923091500000,
DCE.cs.HOT,5,2886,20210923093000000,
DCE.m.HOT,-5,3548,20210923095500000,
DCE.cs.HOT,-5,2892,20210923104500000,
DCE.m.HOT,-4,3540,20210923105000000,
DCE.cs.HOT,5,2894,20210923105500000,
DCE.m.HOT,-5,3541,20210923105500000,
DCE.cs.HOT,4,2893,20210923110000000,
DCE.cs.HOT,5,2893,20210923110500000,
DCE.m.HOT,4,3540,20210923110500000,
DCE.m.HOT,1,3537,20210923111000000,
DCE.cs.HOT,-2,2899,20210923111500000,
DCE.m.HOT,-4,3539,20210923111500000,
DCE.cs.HOT,3,2896,20210923112000000,
DCE.m.HOT,-3,3540,20210923112000000,
DCE.cs.HOT,5,2898,20210923112500000,
DCE.m.HOT,-4,3542,20210923112500000,
DCE.m.HOT,5,3544,20210923113000000,
DCE.m.HOT,-3,3543,20210923141500000,
DCE.m.HOT,-0,3541,20210923142000000,
DCE.m.HOT,-1,3542,20210923142500000,
DCE.cs.HOT,-0,2893,20210923143000000,
DCE.m.HOT,4,3539,20210923143000000,
DCE.cs.HOT,5,2893,20210923143500000,
DCE.m.HOT,-5,3541,20210923143500000,
DCE.m.HOT,1,3544,20210923144000000,
DCE.cs.HOT,4,2892,20210923144500000,
DCE.m.HOT,-2,3540,20210923144500000,
DCE.cs.HOT,5,2890,20210923145000000,
DCE.m.HOT,3,3540,20210923145000000,
DCE.m.HOT,-1,3539,20210923145500000,
DCE.m.HOT,5,3535,20210923150000000,
DCE.m.HOT,3,3527,20210923213500000,
DCE.cs.HOT,-2,2916,20210923214000000,
DCE.m.HOT,-2,3529,20210923214000000,
DCE.cs.HOT,-5,2914,20210923214500000,
DCE.m.HOT,-5,3531,20210923214500000,
DCE.m.HOT,5,3530,20210923215000000,
